x	0	0
x	1	1
x	2	2
x	3	3
x	4	4
x	5	5
h	5	5
u1	0.09817477042468103	4
u1	1.5707963267948966	5
rx	1.5707963267948966	5
u1	1.5707963267948966	5
cx	4	5
u1	-0.09817477042468103	5
cx	4	5
cx	4	3
u1	-0.09817477042468103	3
u1	0.09817477042468103	5
cx	3	5
u1	0.09817477042468103	5
cx	3	5
cx	4	3
u1	0.09817477042468103	3
u1	-0.09817477042468103	5
cx	3	5
u1	-0.09817477042468103	5
cx	3	5
cx	3	2
u1	-0.09817477042468103	2
u1	0.09817477042468103	5
cx	2	5
u1	0.09817477042468103	5
cx	2	5
cx	4	2
u1	0.09817477042468103	2
u1	-0.09817477042468103	5
cx	2	5
u1	-0.09817477042468103	5
cx	2	5
cx	3	2
u1	-0.09817477042468103	2
u1	0.09817477042468103	5
cx	2	5
u1	0.09817477042468103	5
cx	2	5
cx	4	2
u1	0.09817477042468103	2
u1	-0.09817477042468103	5
cx	2	5
u1	-0.09817477042468103	5
cx	2	5
cx	2	1
u1	-0.09817477042468103	1
u1	0.09817477042468103	5
cx	1	5
u1	0.09817477042468103	5
cx	1	5
cx	4	1
u1	0.09817477042468103	1
u1	-0.09817477042468103	5
cx	1	5
u1	-0.09817477042468103	5
cx	1	5
cx	3	1
u1	-0.09817477042468103	1
u1	0.09817477042468103	5
cx	1	5
u1	0.09817477042468103	5
cx	1	5
cx	4	1
u1	0.09817477042468103	1
u1	-0.09817477042468103	5
cx	1	5
u1	-0.09817477042468103	5
cx	1	5
cx	2	1
u1	-0.09817477042468103	1
u1	0.09817477042468103	5
cx	1	5
u1	0.09817477042468103	5
cx	1	5
cx	4	1
u1	0.09817477042468103	1
u1	-0.09817477042468103	5
cx	1	5
u1	-0.09817477042468103	5
cx	1	5
cx	3	1
u1	-0.09817477042468103	1
u1	0.09817477042468103	5
cx	1	5
u1	0.09817477042468103	5
cx	1	5
cx	4	1
u1	0.09817477042468103	1
u1	-0.09817477042468103	5
cx	1	5
u1	-0.09817477042468103	5
cx	1	5
cx	1	0
u1	-0.09817477042468103	0
u1	0.09817477042468103	5
cx	0	5
u1	0.09817477042468103	5
cx	0	5
cx	4	0
u1	0.09817477042468103	0
u1	-0.09817477042468103	5
cx	0	5
u1	-0.09817477042468103	5
cx	0	5
cx	3	0
u1	-0.09817477042468103	0
u1	0.09817477042468103	5
cx	0	5
u1	0.09817477042468103	5
cx	0	5
cx	4	0
u1	0.09817477042468103	0
u1	-0.09817477042468103	5
cx	0	5
u1	-0.09817477042468103	5
cx	0	5
cx	2	0
u1	-0.09817477042468103	0
u1	0.09817477042468103	5
cx	0	5
u1	0.09817477042468103	5
cx	0	5
cx	4	0
u1	0.09817477042468103	0
u1	-0.09817477042468103	5
cx	0	5
u1	-0.09817477042468103	5
cx	0	5
cx	3	0
u1	-0.09817477042468103	0
u1	0.09817477042468103	5
cx	0	5
u1	0.09817477042468103	5
cx	0	5
cx	4	0
u1	0.09817477042468103	0
u1	-0.09817477042468103	5
cx	0	5
u1	-0.09817477042468103	5
cx	0	5
cx	1	0
u1	-0.09817477042468103	0
u1	0.09817477042468103	5
cx	0	5
u1	0.09817477042468103	5
cx	0	5
cx	4	0
u1	0.09817477042468103	0
u1	-0.09817477042468103	5
cx	0	5
u1	-0.09817477042468103	5
cx	0	5
cx	3	0
u1	-0.09817477042468103	0
u1	0.09817477042468103	5
cx	0	5
u1	0.09817477042468103	5
cx	0	5
cx	4	0
u1	0.09817477042468103	0
u1	-0.09817477042468103	5
cx	0	5
u1	-0.09817477042468103	5
cx	0	5
cx	2	0
u1	-0.09817477042468103	0
u1	0.09817477042468103	5
cx	0	5
u1	0.09817477042468103	5
cx	0	5
cx	4	0
u1	0.09817477042468103	0
u1	-0.09817477042468103	5
cx	0	5
u1	-0.09817477042468103	5
cx	0	5
cx	3	0
u1	-0.09817477042468103	0
u1	0.09817477042468103	5
cx	0	5
u1	0.09817477042468103	5
cx	0	5
cx	4	0
u1	0.09817477042468103	0
u1	-0.09817477042468103	5
cx	0	5
u1	-0.09817477042468103	5
cx	0	5
u1	1.6689710972195773	5
rx	1.5707963267948966	5
u1	1.5707963267948966	5
h	5	5
x	0	0
x	1	1
x	2	2
x	3	3
x	4	4
x	5	5
h	0	0
h	1	1
h	2	2
h	3	3
h	4	4
x	0	0
x	1	1
x	2	2
x	3	3
x	4	4
z	5	5
u1	0.09817477042468103	4
u1	1.5707963267948966	5
rx	1.5707963267948966	5
u1	1.5707963267948966	5
cx	4	5
u1	-0.09817477042468103	5
cx	4	5
cx	4	3
u1	-0.09817477042468103	3
u1	0.09817477042468103	5
cx	3	5
u1	0.09817477042468103	5
cx	3	5
cx	4	3
u1	0.09817477042468103	3
u1	-0.09817477042468103	5
cx	3	5
u1	-0.09817477042468103	5
cx	3	5
cx	3	2
u1	-0.09817477042468103	2
u1	0.09817477042468103	5
cx	2	5
u1	0.09817477042468103	5
cx	2	5
cx	4	2
u1	0.09817477042468103	2
u1	-0.09817477042468103	5
cx	2	5
u1	-0.09817477042468103	5
cx	2	5
cx	3	2
u1	-0.09817477042468103	2
u1	0.09817477042468103	5
cx	2	5
u1	0.09817477042468103	5
cx	2	5
cx	4	2
u1	0.09817477042468103	2
u1	-0.09817477042468103	5
cx	2	5
u1	-0.09817477042468103	5
cx	2	5
cx	2	1
u1	-0.09817477042468103	1
u1	0.09817477042468103	5
cx	1	5
u1	0.09817477042468103	5
cx	1	5
cx	4	1
u1	0.09817477042468103	1
u1	-0.09817477042468103	5
cx	1	5
u1	-0.09817477042468103	5
cx	1	5
cx	3	1
u1	-0.09817477042468103	1
u1	0.09817477042468103	5
cx	1	5
u1	0.09817477042468103	5
cx	1	5
cx	4	1
u1	0.09817477042468103	1
u1	-0.09817477042468103	5
cx	1	5
